sample_id	cluster
BS_P5VHEN5Q	3
BS_P69A72G2	3
BS_P6FPBJM8	2
BS_P8X3GAEP	3
BS_P9FWPEYY	5
BS_PDWEETXG	5
BS_PGBR1H2A	1
BS_PKHXM1NB	1
BS_PNF2SHN9	5
BS_PQFKEKEW	7
BS_PS8TB6Z0	7
BS_PWXXZMSR	5
BS_Q4PTDFKS	3
BS_QCP0VAZ7	5
BS_QDMDQ3E3	7
BS_QDRHQSPZ	2
BS_QEKBZRMD	6
BS_QKTJ4QY9	7
BS_QNQDTDCS	3
BS_QP05TKVG	0
BS_QSTNH2MJ	6
BS_QWC51APP	1
BS_QWX24M4X	7
BS_QXZZY4SJ	6
BS_QZAV7XVF	7
BS_R0WH31Q0	7
BS_R13WNSAR	1
BS_R2G2TPBV	7
BS_R66Z3ENM	6
BS_RA5HNMDP	2
BS_RFEDCJTP	6
BS_RQZZ6T97	0
BS_RR3T675W	1
BS_S0T1WT6R	1
BS_S4R97RNZ	7
BS_S8Q6R8MX	3
BS_S8STY9B1	7
BS_SFQWVZ4N	6
BS_SGRCCAVT	7
BS_SMJRCVQB	7
BS_SPGHWHXY	5
BS_SSHQFYA8	0
BS_SSS5J8P5	5
BS_STK02B14	4
BS_SXVVN52M	4
BS_SY6CCX4G	2
BS_SYQG48V0	0
BS_SYSZCYYZ	2
BS_T5BAS1JN	2
BS_T62SHZA7	5
BS_T9KJYH7M	1
BS_T9VPRPVA	0
BS_TBSPYEEW	5
BS_TDV0SYNR	6
BS_THY6PFYF	3
BS_TKRH7YW7	3
BS_TR758MB1	1
BS_TS07B3TC	1
BS_TT4PHFV7	3
BS_TWN989ZD	5
BS_V4VGG98Y	2
BS_V7B79J5R	3
BS_VCXG53E7	1
BS_VE90VKZY	5
BS_VGAKW5G6	1
BS_VKK21QBZ	5
BS_VVWYPEHM	2
BS_VWQK91SV	3
BS_W05MC7QG	5
BS_W09W6AAS	6
BS_W1R54A2M	2
BS_W22EEJCZ	3
BS_W2BC0CVT	1
BS_W41Y820G	7
BS_WBTZK7A2	7
BS_WBZBDN0A	1
BS_WCEHT7D0	5
BS_WFZG82XZ	5
BS_WKPJ7S74	1
BS_WMM0MP1J	2
BS_WRZATZQF	7
BS_WSD8PV27	5
BS_WSK7MH3C	2
BS_WVMWHF4P	4
BS_WZXHZN97	4
BS_X242DJMF	4
BS_X2D8S1HY	5
BS_X3AFTRNM	5
BS_X6BEG5J1	5
BS_X8H38ZNB	5
BS_XA3KEKC6	1
BS_XDH1Y1TQ	1
BS_XH6P7BY8	2
BS_XQC9PNZP	5
BS_XQSEQPAZ	5
BS_XWKDJ2M6	1
BS_XX68G6KE	3
BS_Y35YEDFF	5
BS_Y3KBY0FY	5
BS_Y4V9JXG4	3
BS_Y9BHAPG3	3
BS_YCTATCH4	5
BS_YK9W04XG	6
BS_YPKSF86W	5
BS_YTQ6Y7FQ	5
BS_YV3MJ2BD	1
BS_Z2G9EG1X	0
BS_Z862V8M7	5
BS_ZED6T1CT	2
BS_ZK0GRMB1	6
BS_ZPXVVM8K	6
BS_ZQEDB5RA	7
BS_ZRG2V7T2	3
BS_ZYXTC212	1
