MES_SCORE	ADRN_SCORE	AM_RATIO	CLASS	COLOR	SAMPLE
0.642142978095412	0.791064784646124	1.23191378186897	Adrenergic	Red	PATSIJ
0.644849960358	0.775408415307878	1.20246330615791	Adrenergic	Red	PASZJB
0.676537431131137	0.762229549886681	1.12666279027942	Adrenergic	Red	PASKRS
0.609291591298273	0.80838739740205	1.32676604920732	Adrenergic	Red	PAVNLK
0.647850416773668	0.766517341629014	1.18317025316787	Adrenergic	Red	PAVJEV
0.626080622968137	0.812370929023541	1.29755002665988	Adrenergic	Red	PASWYR
0.562696710106523	0.78821294495048	1.40077759616058	Adrenergic	Red	PASPGB
0.742989870263566	0.717870760123237	0.966191853825116	Slight Mesenchymal	Gray	PAUCRL
0.662533544308766	0.765188898817938	1.15494363325599	Adrenergic	Red	PATWPL
0.732791391125799	0.725648708930873	0.990252775508248	Slight Mesenchymal	Gray	PATEEE
0.618587780395657	0.803170055054312	1.29839301794903	Adrenergic	Red	PARYEH
0.735419537954832	0.552928383875651	0.751854357056273	Mesenchymal	Green	PARUZA
0.622423466269536	0.781901194520443	1.2562206229253	Adrenergic	Red	PATTHB
0.802882147194614	0.574882728087282	0.716023802616617	Mesenchymal	Green	PAUUWG
0.608911319669272	0.790927328548224	1.2989203895533	Adrenergic	Red	PASXRG
0.734079447725828	0.704415934366061	0.959590867920817	Slight Mesenchymal	Gray	PASLPG
0.722852070859934	0.743893385576633	1.02910874238994	Slight Adrenergic	Gray	PASUFD
0.662063559526359	0.771638255080186	1.16550479780554	Adrenergic	Red	PATCVK
0.659773967709993	0.767135295132317	1.16272440665545	Adrenergic	Red	PATSCT
0.765936252076018	0.664662073616575	0.867777274956046	Mesenchymal	Green	PASFEU
0.685367672538019	0.751819421618281	1.09695781073855	Slight Adrenergic	Gray	PATUAI
0.787300430286712	0.659401008849897	0.837546867095909	Mesenchymal	Green	PASCGM
0.677856550910532	0.721365558952195	1.06418615853637	Slight Adrenergic	Gray	PASREY
0.684904640525001	0.762838519331299	1.11378792636966	Adrenergic	Red	PAVMHB
0.617385960564341	0.767305842513045	1.24283007960153	Adrenergic	Red	PAVHEU
0.691533657571622	0.771208218137736	1.11521429173223	Adrenergic	Red	PAVHWG
0.735157575546886	0.745934863178776	1.01465983347022	Slight Adrenergic	Gray	PASFIC
0.664185948453065	0.754532607341533	1.1360261521625	Adrenergic	Red	PAUIJR
0.690228443331005	0.775463966737421	1.12348885971009	Adrenergic	Red	PASKFM
0.683614677520463	0.741262254256048	1.08432758779358	Slight Adrenergic	Gray	PAVINT
0.770573861399906	0.679566028039846	0.881896028506955	Mesenchymal	Green	PATLDR
0.668738778846984	0.804421833897932	1.20289395402625	Adrenergic	Red	PAULDT
0.74779120609242	0.680673612741551	0.910245543402962	Slight Mesenchymal	Gray	PASGBE
0.633811093255702	0.78317348696473	1.2356575883546	Adrenergic	Red	PASMUB
0.675601498658228	0.772885691628774	1.14399641380867	Adrenergic	Red	PASGGD
0.617615962661386	0.79677654969023	1.29008412648018	Adrenergic	Red	PASIIB
0.598342885915147	0.803214526144809	1.34239838903795	Adrenergic	Red	PATLKI
0.598241510051798	0.788000322228238	1.31719432534865	Adrenergic	Red	PASLTC
0.625458910815033	0.780724133098231	1.24824208209117	Adrenergic	Red	PATWPC
0.592660679061286	0.800284974341528	1.3503257472878	Adrenergic	Red	PATUBI
0.59831305629164	0.764714540519303	1.27811775537546	Adrenergic	Red	PATBGF
0.755949047414523	0.694070940523136	0.918145135438663	Slight Mesenchymal	Gray	PATMDE
0.659182085180396	0.781914970077095	1.18618965481004	Adrenergic	Red	PASWEE
0.718067556247344	0.763755492254544	1.0636262362917	Slight Adrenergic	Gray	PARWEV
0.64193103077049	0.797133067085763	1.24177369355239	Adrenergic	Red	PATWTJ
0.593122589659886	0.812407763664154	1.36971307083416	Adrenergic	Red	PATCMD
0.630874557461836	0.765891901410138	1.21401615004338	Adrenergic	Red	PASRRY
0.700061341368641	0.761718656416055	1.08807416065408	Slight Adrenergic	Gray	PARTRP
0.645716477278462	0.804592980215905	1.24604684645352	Adrenergic	Red	PASTZR
0.593891094960251	0.805498124128546	1.35630611565654	Adrenergic	Red	PATWIL
0.655825131121381	0.772242133558214	1.17751226190093	Adrenergic	Red	PATNUK
0.639328676473062	0.808166689026991	1.26408640620556	Adrenergic	Red	PAUJRW
0.75715725930802	0.666676449308347	0.880499316506105	Mesenchymal	Green	PATJDG
0.602756997345612	0.789988344681198	1.31062492540129	Adrenergic	Red	PATETW
0.639563276369219	0.799233989209547	1.24965584913939	Adrenergic	Red	PASEWZ
0.645585720357372	0.766714691451489	1.18762647201531	Adrenergic	Red	PAUHXD
0.701726978203068	0.785331457861171	1.11914103669235	Adrenergic	Red	PAUYFR
0.627943292315732	0.781076308198732	1.24386440265693	Adrenergic	Red	PASSMV
0.652017817032266	0.790387386621179	1.21221746702984	Adrenergic	Red	PASAVJ
0.648293375468611	0.767722403367465	1.18422065135638	Adrenergic	Red	PAUGVZ
0.654250777420545	0.76309276819212	1.16636127082752	Adrenergic	Red	PASNII
0.779788860093459	0.649960410248056	0.833508201399745	Mesenchymal	Green	PAUFHY
0.602355082418353	0.811870516954716	1.34782712166252	Adrenergic	Red	PAULMT
0.622936513365578	0.789361407119208	1.26716188597531	Adrenergic	Red	PATWDV
0.687736772636591	0.747006661380047	1.08618106680007	Slight Adrenergic	Gray	PAUGJI
0.790847239806623	0.687301602037345	0.869069989047952	Mesenchymal	Green	PATSTU
